row_id,source,report_date,status_id,water_source,water_tech,install_year,installer,fecal_coliform_value,fecal_coliform_presence,activity_id,clean_country_id,clean_country_name,clean_adm1,water_source_clean,water_source_category,water_tech_clean,_facility_type,management_clean,status_clean,count,updated,pay_clean,subjective_quality_clean,dataset_title
221,"Ministry of Water and Environment, Uganda",2010-04-29T00:00:00.000,Yes,Deep borehole,,2001,,,,010-00396,UGA,Uganda,Northern,Borehole/Tubewell,Well,Hand Pump - Afridev,Improved,Community Management,"Functional, needs repair",1,2020-01-01T00:00:00.000,Fees collected – basis unknown,,Ministry of Water and Environment_Uganda_2009
2642,"Ministry of Water and Environment, Uganda",2010-04-21T00:00:00.000,Yes,Protected spring,,2008,,,,010-00481,UGA,Uganda,Northern,Protected Well,Well,,Improved,Community Management,"Functional, needs repair",1,2020-01-01T00:00:00.000,,,Ministry of Water and Environment_Uganda_2009
30087,Water For People,2010-01-01T00:00:00.000,Yes,,Protected Spring,,,,,,UGA,Uganda,Eastern,Protected Well,Well,,Improved,,Functional,1,2022-02-18T05:36:33.000,,,Water For People_Global_2017-2020
1124,"Ministry of Water and Environment, Uganda",2010-04-22T00:00:00.000,Yes,Protected spring,,1995,,,,010-00445,UGA,Uganda,Northern,Protected Well,Well,,Improved,Community Management,"Functional, needs repair",1,2020-01-01T00:00:00.000,Fees collected – basis unknown,,Ministry of Water and Environment_Uganda_2009
161,"Ministry of Water and Environment, Uganda",2010-04-29T00:00:00.000,No,Protected spring,,1999,,,,010-00391,UGA,Uganda,Northern,Protected Well,Well,,Improved,Community Management,Non-Functional,1,2020-01-01T00:00:00.000,,,Ministry of Water and Environment_Uganda_2009
42,"Ministry of Water and Environment, Uganda",2010-04-29T00:00:00.000,Yes,Protected spring,,2004,,,,010-00383,UGA,Uganda,Northern,Protected Well,Well,,Improved,Community Management,"Functional, needs repair",1,2020-01-01T00:00:00.000,,,Ministry of Water and Environment_Uganda_2009
3372,"Ministry of Water and Environment, Uganda",2010-04-21T00:00:00.000,No,Kiosk,,2004,,,,010-00504,UGA,Uganda,Northern,,,Kiosk,Improved,Community Management,Non-Functional,1,2020-01-01T00:00:00.000,,,Ministry of Water and Environment_Uganda_2009
13327,Water For People,2005-09-07T00:00:00.000,Yes,,Protected Spring,,,,,,UGA,Uganda,Western,Protected Well,Well,,Improved,,Functional,1,2022-02-18T05:36:33.000,,,Water For People_Global_2017-2020
4500,"Ministry of Water and Environment, Uganda",2010-04-21T00:00:00.000,Yes,Protected spring,,1989,,,,010-00520,UGA,Uganda,Northern,Protected Well,Well,,Improved,Community Management,"Functional, needs repair",1,2020-01-01T00:00:00.000,,,Ministry of Water and Environment_Uganda_2009
2607,Water For People,2005-09-07T00:00:00.000,No,,Protected Shallow Well,,,,,,UGA,Uganda,Western,Undefined Well,Well,,Unknown,,Non-Functional,1,2022-02-18T05:36:33.000,,,Water For People_Global_2017-2020
2033,"Ministry of Water and Environment, Uganda",2010-04-20T00:00:00.000,Yes,Protected spring,,1997,,,,010-00468,UGA,Uganda,Northern,Protected Well,Well,,Improved,Community Management,"Functional, needs repair",1,2020-01-01T00:00:00.000,,,Ministry of Water and Environment_Uganda_2009
